AlgorithmAgent,IsWon,GameTime,Points
AlphaBetaAgent,False,0:00:03.249365,-338
AlphaBetaAgent,True,0:00:17.472800,1355
AlphaBetaAgent,False,0:00:05.504520,-304
AlphaBetaAgent,False,0:00:11.023548,-20
AlphaBetaAgent,True,0:00:13.272335,1360
AlphaBetaAgent,False,0:00:03.700412,-338
AlphaBetaAgent,False,0:00:11.138659,-19
AlphaBetaAgent,True,0:00:16.413199,1359
AlphaBetaAgent,True,0:00:17.925217,1357
AlphaBetaAgent,True,0:00:24.143036,1519
AlphaBetaAgent,True,0:00:18.408865,1359
AlphaBetaAgent,False,0:00:11.020680,-204
AlphaBetaAgent,True,0:00:15.207263,971
AlphaBetaAgent,False,0:00:04.150897,-352
AlphaBetaAgent,False,0:00:08.120918,-204
AlphaBetaAgent,False,0:00:07.029773,-264
AlphaBetaAgent,False,0:00:15.163811,-143
AlphaBetaAgent,False,0:00:06.657107,-286
AlphaBetaAgent,True,0:00:19.682725,1741
AlphaBetaAgent,True,0:00:18.392499,960
AlphaBetaAgent,False,0:00:03.806506,-330
AlphaBetaAgent,True,0:00:16.033581,1362
AlphaBetaAgent,True,0:00:24.759284,1292
AlphaBetaAgent,True,0:00:17.710045,1752
AlphaBetaAgent,True,0:00:16.739652,1369
AlphaBetaAgent,False,0:00:03.540745,-339
AlphaBetaAgent,True,0:00:20.430278,1337
AlphaBetaAgent,True,0:00:22.469709,1540
AlphaBetaAgent,False,0:00:10.257030,-96
AlphaBetaAgent,False,0:00:06.249790,76
AlphaBetaAgent,False,0:00:05.322251,-298
AlphaBetaAgent,True,0:00:17.269228,971
AlphaBetaAgent,True,0:00:22.055107,1330
AlphaBetaAgent,True,0:00:21.926682,1331
AlphaBetaAgent,False,0:00:16.676126,-102
AlphaBetaAgent,True,0:00:19.541050,1541
AlphaBetaAgent,True,0:00:17.480928,1353
AlphaBetaAgent,False,0:00:15.773270,291
AlphaBetaAgent,False,0:00:08.804145,-128
AlphaBetaAgent,True,0:00:16.704968,971
AlphaBetaAgent,False,0:00:02.623863,-383
AlphaBetaAgent,True,0:00:19.634333,1351
AlphaBetaAgent,False,0:00:11.736448,-105
AlphaBetaAgent,True,0:00:18.449060,1548
AlphaBetaAgent,True,0:00:25.772428,1347
AlphaBetaAgent,True,0:00:18.247621,1351
AlphaBetaAgent,True,0:00:16.524735,1359
AlphaBetaAgent,True,0:00:18.990204,1344
AlphaBetaAgent,True,0:00:23.422806,1325
AlphaBetaAgent,True,0:00:18.970079,1353
AlphaBetaAgent,False,0:00:03.422765,-338
AlphaBetaAgent,True,0:00:23.645973,1484
AlphaBetaAgent,True,0:00:19.884913,1346
AlphaBetaAgent,False,0:00:13.981423,331
AlphaBetaAgent,True,0:00:15.734319,1365
AlphaBetaAgent,False,0:00:09.022454,-90
AlphaBetaAgent,True,0:00:14.759461,967
AlphaBetaAgent,False,0:00:10.750728,-131
AlphaBetaAgent,True,0:00:20.430270,1351
AlphaBetaAgent,False,0:00:08.301818,-272
AlphaBetaAgent,True,0:00:18.429729,1353
AlphaBetaAgent,False,0:00:11.374915,2
AlphaBetaAgent,False,0:00:17.997796,272
AlphaBetaAgent,True,0:00:17.273419,1355
AlphaBetaAgent,False,0:00:03.211397,-338
AlphaBetaAgent,False,0:00:05.218396,-185
AlphaBetaAgent,True,0:00:18.686699,1556
AlphaBetaAgent,True,0:00:19.610961,1351
AlphaBetaAgent,True,0:00:19.623569,1345
AlphaBetaAgent,True,0:00:17.620084,1153
AlphaBetaAgent,False,0:00:03.685058,-350
AlphaBetaAgent,True,0:00:16.851377,1356
AlphaBetaAgent,True,0:00:18.319580,1359
AlphaBetaAgent,True,0:00:22.604188,1266
AlphaBetaAgent,True,0:00:20.059461,1736
AlphaBetaAgent,True,0:00:21.179984,1347
AlphaBetaAgent,True,0:00:18.504238,1749
AlphaBetaAgent,True,0:00:19.410214,1553
AlphaBetaAgent,True,0:00:18.628957,1351
AlphaBetaAgent,False,0:00:11.635533,159
AlphaBetaAgent,True,0:00:17.627384,1370
AlphaBetaAgent,True,0:00:17.806054,1354
AlphaBetaAgent,False,0:00:09.994095,-194
AlphaBetaAgent,False,0:00:14.289747,252
AlphaBetaAgent,True,0:00:18.272049,1349
AlphaBetaAgent,True,0:00:17.976502,1353
AlphaBetaAgent,False,0:00:09.017054,-198
AlphaBetaAgent,False,0:00:10.465329,321
AlphaBetaAgent,False,0:00:12.632021,-208
AlphaBetaAgent,False,0:00:08.698483,-184
AlphaBetaAgent,True,0:00:16.056869,1161
AlphaBetaAgent,True,0:00:18.219620,1552
AlphaBetaAgent,False,0:00:04.002554,-321
AlphaBetaAgent,True,0:00:18.628204,971
AlphaBetaAgent,False,0:00:03.382439,-338
AlphaBetaAgent,False,0:00:10.691262,100
AlphaBetaAgent,True,0:00:16.209781,975
AlphaBetaAgent,False,0:00:17.296842,284
AlphaBetaAgent,True,0:00:16.674217,1356
AlphaBetaAgent,True,0:00:16.051684,1366
AlphaBetaAgent,True,0:00:18.485994,1365
AlphaBetaAgent,True,0:00:21.665739,1526
AlphaBetaAgent,False,0:00:05.141765,-297
AlphaBetaAgent,False,0:00:12.579946,-49
AlphaBetaAgent,True,0:00:20.782868,1337
AlphaBetaAgent,True,0:00:19.891839,1546
AlphaBetaAgent,True,0:00:12.107979,987
AlphaBetaAgent,False,0:00:05.395190,-279
AlphaBetaAgent,True,0:00:15.970035,971
AlphaBetaAgent,True,0:00:22.824411,1125
AlphaBetaAgent,False,0:00:18.264527,113
AlphaBetaAgent,False,0:00:03.586993,-339
AlphaBetaAgent,False,0:00:02.664057,-383
AlphaBetaAgent,True,0:00:17.751251,963
AlphaBetaAgent,True,0:00:13.940765,971
AlphaBetaAgent,False,0:00:09.939973,-90
AlphaBetaAgent,False,0:00:12.932883,250
AlphaBetaAgent,True,0:00:15.853352,961
AlphaBetaAgent,True,0:00:15.213743,969
AlphaBetaAgent,True,0:00:18.565743,1551
AlphaBetaAgent,False,0:00:07.044923,-224
AlphaBetaAgent,True,0:00:20.695798,1132
AlphaBetaAgent,False,0:00:12.443415,-29
AlphaBetaAgent,False,0:00:06.718237,-236
AlphaBetaAgent,False,0:00:11.361447,-178
AlphaBetaAgent,True,0:00:15.601249,1763
AlphaBetaAgent,True,0:00:17.802473,1551
AlphaBetaAgent,False,0:00:03.021195,-347
AlphaBetaAgent,True,0:00:24.048333,1304
AlphaBetaAgent,True,0:00:24.309054,1514
AlphaBetaAgent,True,0:00:21.815250,1729
AlphaBetaAgent,True,0:00:14.801391,971
AlphaBetaAgent,True,0:00:20.454792,1139
AlphaBetaAgent,True,0:00:14.101468,971
AlphaBetaAgent,True,0:00:20.388851,1347
AlphaBetaAgent,False,0:00:06.739530,-236
AlphaBetaAgent,False,0:00:07.011763,-195
AlphaBetaAgent,True,0:00:24.670073,1115
AlphaBetaAgent,True,0:00:15.211991,965
AlphaBetaAgent,False,0:00:11.706287,-162
AlphaBetaAgent,True,0:00:16.480995,1360
AlphaBetaAgent,False,0:00:10.133910,-126
AlphaBetaAgent,True,0:00:18.066256,975
AlphaBetaAgent,True,0:00:15.214319,967
AlphaBetaAgent,True,0:00:21.986073,1329
AlphaBetaAgent,False,0:00:07.943739,-134
AlphaBetaAgent,True,0:00:20.658246,1739
AlphaBetaAgent,False,0:00:11.276922,-50
AlphaBetaAgent,False,0:00:03.504931,-329
AlphaBetaAgent,True,0:00:18.532213,1351
AlphaBetaAgent,False,0:00:03.344798,-338
AlphaBetaAgent,False,0:00:06.921481,-235
AlphaBetaAgent,True,0:00:21.192725,1339
AlphaBetaAgent,True,0:00:16.338252,1559
AlphaBetaAgent,True,0:00:16.016568,961
AlphaBetaAgent,False,0:00:11.866464,198
AlphaBetaAgent,False,0:00:09.386568,-213
AlphaBetaAgent,True,0:00:18.160791,1751
AlphaBetaAgent,True,0:00:21.380805,1734
AlphaBetaAgent,False,0:00:11.164270,-56
AlphaBetaAgent,True,0:00:23.398086,1724
AlphaBetaAgent,False,0:00:09.576619,-73
AlphaBetaAgent,False,0:00:16.175390,312
AlphaBetaAgent,False,0:00:02.606619,-383
AlphaBetaAgent,True,0:00:17.232259,953
AlphaBetaAgent,False,0:00:07.024472,-226
AlphaBetaAgent,True,0:00:20.050130,1553
AlphaBetaAgent,False,0:00:22.406045,-359
AlphaBetaAgent,False,0:00:13.480504,101
AlphaBetaAgent,True,0:00:18.283014,1352
AlphaBetaAgent,True,0:00:13.446488,975
AlphaBetaAgent,False,0:00:08.036018,-152
AlphaBetaAgent,False,0:00:05.835112,-148
AlphaBetaAgent,True,0:00:30.849827,908
AlphaBetaAgent,True,0:00:21.938851,1330
AlphaBetaAgent,True,0:00:23.128715,1125
AlphaBetaAgent,True,0:00:17.170288,967
AlphaBetaAgent,True,0:00:17.888700,952
AlphaBetaAgent,False,0:00:03.865810,-351
AlphaBetaAgent,True,0:00:19.817228,1342
AlphaBetaAgent,True,0:00:18.952697,1549
AlphaBetaAgent,False,0:00:05.487882,-290
AlphaBetaAgent,True,0:00:18.610197,1347
AlphaBetaAgent,True,0:00:23.612894,1522
AlphaBetaAgent,True,0:00:18.419052,1550
AlphaBetaAgent,False,0:00:11.572613,-67
AlphaBetaAgent,False,0:00:09.223577,-91
AlphaBetaAgent,True,0:00:24.463649,1347
AlphaBetaAgent,True,0:00:22.069598,1703
AlphaBetaAgent,True,0:00:18.694840,1750
AlphaBetaAgent,False,0:00:04.954699,-296
AlphaBetaAgent,False,0:00:09.577641,-192
AlphaBetaAgent,True,0:00:15.656252,963
AlphaBetaAgent,False,0:00:04.734487,-303
AlphaBetaAgent,True,0:00:16.947514,971
AlphaBetaAgent,True,0:00:23.609922,1133
AlphaBetaAgent,False,0:00:10.249762,-198
AlphaBetaAgent,False,0:00:14.595303,303
AlphaBetaAgent,True,0:00:24.762551,1302
AlphaBetaAgent,True,0:00:21.096779,1349
AlphaBetaAgent,True,0:00:19.090950,1143
AlphaBetaAgent,False,0:00:08.283585,-136
AlphaBetaAgent,True,0:00:17.161874,1555
AlphaBetaAgent,False,0:00:13.695089,-146
AlphaBetaAgent,True,0:00:19.524860,1539
AlphaBetaAgent,True,0:00:17.719657,967
AlphaBetaAgent,False,0:00:09.625005,-131
AlphaBetaAgent,True,0:00:19.561171,1342
AlphaBetaAgent,False,0:00:03.454464,-338
AlphaBetaAgent,True,0:00:20.093503,1742
AlphaBetaAgent,False,0:00:07.443950,-219
AlphaBetaAgent,False,0:00:04.764923,-354
AlphaBetaAgent,False,0:00:05.347967,-298
AlphaBetaAgent,True,0:00:15.423181,966
AlphaBetaAgent,True,0:00:15.096484,1166
AlphaBetaAgent,False,0:00:03.054167,-356
AlphaBetaAgent,False,0:00:03.080176,-356
AlphaBetaAgent,True,0:00:15.379662,976
AlphaBetaAgent,False,0:00:03.634311,-350
AlphaBetaAgent,False,0:00:12.020474,-84
AlphaBetaAgent,True,0:00:15.650755,965
AlphaBetaAgent,True,0:00:17.631975,1153
